initial_captial,usd_balance,max_usd,min_usd,win,lose,win_rate,total_fee,total_profit,risk_portion,win_ratio
10000,11689.243104082987,11689.243104082987,9980,88,8,0.9166666666666666,165.4486113590143,1689.2431040829836,0.01,1
10000,11729.505978510575,11729.505978510575,9980,88,8,0.9166666666666666,165.73294211409635,1729.5059785105682,0.01,1.02
10000,11769.9059321321,11769.9059321321,9980,88,8,0.9166666666666666,166.01792371530382,1769.9059321321035,0.01,1.04
10000,11810.443426188844,11810.443426188844,9980,88,8,0.9166666666666666,166.30355780613962,1810.4434261888491,0.01,1.06
10000,11851.11892345568,11851.11892345568,9980,88,8,0.9166666666666666,166.58984603445816,1851.118923455678,0.01,1.08
10000,11891.932888246096,11891.932888246096,9980,88,8,0.9166666666666666,166.87679005247804,1891.9328882461032,0.01,1.1
10000,11882.403431158718,11882.403431158718,9980,87,9,0.90625,167.07263702235932,1882.4034311587186,0.01,1.12
10000,11922.846040232935,11922.846040232935,9980,87,9,0.90625,167.35973705861838,1922.8460402329226,0.01,1.1400000000000001
10000,11963.424688295114,11963.424688295114,9980,87,9,0.90625,167.64749141775812,1963.424688295113,0.01,1.1600000000000001
10000,12004.13982753125,12004.13982753125,9980,87,9,0.90625,167.9359017405973,2004.1398275312376,0.01,1.1800000000000002
10000,12044.991911612271,12044.991911612271,9980,87,9,0.90625,168.22496967226095,2044.9919116122753,0.01,1.2000000000000002
10000,12085.981395699062,12085.981395699062,9980,87,9,0.90625,168.5146968621922,2085.981395699068,0.01,1.2200000000000002
10000,12127.108736447162,12127.108736447162,9980,87,9,0.90625,168.8050849641644,2127.1087364471587,0.01,1.2400000000000002
10000,12168.374392011612,12168.374392011612,9980,87,9,0.90625,169.09613563629074,2168.3743920116176,0.01,1.2600000000000002
10000,12154.244398747043,12154.244398747043,9980,86,10,0.8958333333333334,169.3044725475452,2154.2443987470456,0.01,1.2800000000000002
10000,12195.112550131089,12195.112550131089,9980,86,10,0.8958333333333334,169.595854813551,2195.1125501310803,0.01,1.3000000000000003
10000,12236.116492505715,12236.116492505715,9980,86,10,0.8958333333333334,169.8878991583569,2236.1164925057246,0.01,1.3200000000000003
10000,12268.249861988495,12268.249861988495,9980,85,11,0.8854166666666666,170.15865004746215,2268.2498619884955,0.01,1.3400000000000003
10000,12309.419260769104,12309.419260769104,9980,85,11,0.8854166666666666,170.45176762106314,2309.419260769102,0.01,1.3600000000000003
10000,12233.74819401069,12233.74819401069,9980,83,13,0.8645833333333334,170.5334916614207,2233.748194010691,0.01,1.3800000000000003
10000,12273.819329310105,12273.819329310105,9980,83,13,0.8645833333333334,170.82550751650152,2273.8193293101094,0.01,1.4000000000000004
10000,12314.02011941479,12314.02011941479,9980,83,13,0.8645833333333334,171.11817950535394,2314.020119414797,0.01,1.4200000000000004
10000,12354.350978672934,12354.350978672934,9980,83,13,0.8645833333333334,171.41150923946185,2354.350978672932,0.01,1.4400000000000004
10000,12394.812322740341,12394.812322740341,9980,83,13,0.8645833333333334,171.70549833442988,2394.812322740344,0.01,1.4600000000000004
10000,12435.40456858461,12435.40456858461,9980,83,13,0.8645833333333334,172.00014840999611,2435.404568584609,0.01,1.4800000000000004
10000,12476.128134489125,12476.128134489125,9980,83,13,0.8645833333333334,172.29546109004153,2476.128134489124,0.01,1.5000000000000004
10000,12516.983440057207,12516.983440057207,9980,83,13,0.8645833333333334,172.5914380026007,2516.9834400572036,0.01,1.5200000000000005
10000,12494.37229772678,12494.37229772678,9980,82,14,0.8541666666666666,172.24936505362055,2494.3722977267807,0.01,1.5400000000000005
10000,12534.784246462264,12534.784246462264,9980,82,14,0.8541666666666666,172.54025248108326,2534.784246462264,0.01,1.5600000000000005
10000,12575.32529470879,12575.32529470879,9980,82,14,0.8541666666666666,172.83178400039534,2575.325294708787,0.01,1.5800000000000005
10000,12550.601931864076,12550.601931864076,9980,81,15,0.84375,172.36488872499018,2550.601931864081,0.01,1.6000000000000005
10000,12590.688895458825,12590.688895458825,9980,81,15,0.84375,172.65040211232312,2590.688895458827,0.01,1.6200000000000006
10000,12630.902301872202,12630.902301872202,9980,81,15,0.84375,172.9365385219952,2630.9023018722023,0.01,1.6400000000000006
10000,12671.242544898345,12671.242544898345,9980,81,15,0.84375,173.2232994436452,2671.2425448983336,0.01,1.6600000000000006
10000,12711.710019542146,12711.710019542146,9980,81,15,0.84375,173.51068637062286,2711.7100195421426,0.01,1.6800000000000006
10000,12752.305122022975,12752.305122022975,9980,81,15,0.84375,173.7987007999975,2752.3051220229713,0.01,1.7000000000000006
10000,12793.02824977827,12793.02824977827,9980,81,15,0.84375,174.08734423256766,2793.028249778267,0.01,1.7200000000000006
10000,12763.794038610024,12763.794038610024,9980,80,16,0.8333333333333334,174.22801845056927,2763.794038610022,0.01,1.7400000000000007
10000,12804.040234993796,12804.040234993796,9980,80,16,0.8333333333333334,174.51640224110014,2804.040234993802,0.01,1.7600000000000007
10000,12844.411732094048,12844.411732094048,9980,80,16,0.8333333333333334,174.80541194714687,2844.4117320940554,0.01,1.7800000000000007
10000,12884.9089150306,12884.9089150306,9980,80,16,0.8333333333333334,175.09504905341475,2884.9089150306,0.01,1.8000000000000007
10000,12925.532170091596,12925.532170091596,9980,80,16,0.8333333333333334,175.3853150482717,2925.532170091606,0.01,1.8200000000000007
10000,12966.281884737124,12966.281884737124,9980,80,16,0.8333333333333334,175.67621142375654,2966.2818847371163,0.01,1.8400000000000007
10000,12933.033247028403,12933.033247028403,9980,79,17,0.8229166666666666,175.476821331681,2933.033247028405,0.01,1.8600000000000008
